Start date,Total bicicle usage(seconds),Number of bikes,Proportion members,Usage per bike(seconds)
02-12-2015,4014677.0,5740,0.9721254355400697,699.0
02-12-2016,6626418.0,8411,0.8905005350136725,788.0
02-12-2017,8401898.0,7560,0.7447089947089947,1111.0
02-12-2018,8906704.0,9666,0.8861990482102214,921.0
02-12-2019,4313878.0,6256,0.9800191815856778,690.0
03-01-2011,1177070.0,1301,0.9077632590315142,905.0
03-01-2012,1391099.0,2219,0.9598918431726002,627.0
03-01-2013,2834271.0,3844,0.9227367325702394,737.0
03-01-2014,1036848.0,1608,0.9533582089552238,645.0
03-01-2015,1225531.0,1703,0.8725778038755138,720.0
03-01-2016,5215354.0,4965,0.7498489425981874,1050.0
03-01-2017,2751544.0,3771,0.9326438610448157,730.0
03-01-2018,3347543.0,4748,0.9412384161752316,705.0
03-01-2019,7055592.0,7604,0.8766438716465018,928.0
03-01-2020,4140788.0,5048,0.936014263074485,820.0
03-02-2011,1024959.0,1534,0.9602346805736637,668.0
03-02-2012,3246390.0,4118,0.924720738222438,788.0
03-02-2013,1611370.0,2555,0.9275929549902152,631.0
03-02-2014,1540010.0,2462,0.9752233956133225,626.0
03-02-2015,3147502.0,5117,0.998827437951925,615.0
03-02-2016,2699340.0,4243,0.983030874381334,636.0
03-02-2017,4610124.0,6543,0.9416169952621122,705.0
03-02-2018,3136563.0,3794,0.8547706905640485,827.0
03-02-2019,5320385.0,5052,0.8652019002375297,1053.0
03-02-2020,7053793.0,8744,0.9532250686184812,807.0
03-03-2011,1460742.0,1659,0.9258589511754068,880.0
03-03-2012,4498222.0,4020,0.7624378109452736,1119.0
03-03-2013,2305784.0,3048,0.8441601049868767,756.0
03-03-2014,389611.0,418,0.9617224880382775,932.0
03-03-2015,2342376.0,3831,0.9595405899243018,611.0
03-03-2016,4220573.0,5902,0.957472043375127,715.0
03-03-2017,4645266.0,6741,0.9049102507046433,689.0
03-03-2018,6962239.0,5714,0.7425621281064053,1218.0
03-03-2019,2007546.0,2309,0.8986574274577739,869.0
03-03-2020,6544053.0,7651,0.9542543458371455,855.0
03-04-2011,7826951.0,3212,0.4859900373599004,2437.0
03-04-2012,7132973.0,6705,0.7989560029828486,1064.0
03-04-2013,5894594.0,6226,0.850787022165114,947.0
03-04-2014,8749090.0,9107,0.8427583177775337,961.0
03-04-2015,5702518.0,6428,0.816894835096453,887.0
03-04-2016,8714070.0,6800,0.7175,1281.0
03-04-2017,12098896.0,10868,0.7688627162311373,1113.0
03-04-2018,8807273.0,9226,0.8340559288965965,955.0
03-04-2019,16018819.0,13142,0.856338456855882,1219.0
03-05-2011,4724664.0,4366,0.8618873110398534,1082.0
03-05-2012,5521674.0,6358,0.8798364265492293,868.0
03-05-2013,9354324.0,8655,0.7950317735413056,1081.0
03-05-2014,16003521.0,11182,0.6235914863172957,1431.0
03-05-2015,18818964.0,12106,0.588138113332232,1555.0
03-05-2016,7327892.0,8132,0.9012543039842598,901.0
03-05-2017,12811018.0,12931,0.8080581548217461,991.0
03-05-2018,15416082.0,14163,0.7912165501659253,1088.0
03-05-2019,13781876.0,12464,0.8621630295250321,1106.0
03-06-2011,5962352.0,5242,0.8286913391835178,1137.0
03-06-2012,10234394.0,7549,0.669625115909392,1356.0
03-06-2013,7415954.0,7393,0.8049506289733531,1003.0
03-06-2014,9973346.0,10367,0.8440243079000675,962.0
03-06-2015,8267707.0,9882,0.886561424812791,837.0
03-06-2016,8914911.0,8517,0.829987084654221,1047.0
03-06-2017,23214584.0,13898,0.5312994675492877,1670.0
03-06-2018,2154836.0,2103,0.785544460294817,1025.0
03-06-2019,13441981.0,12746,0.8642711438882786,1055.0
